"Model","Reviews"
"iPhone 12 Pro Max","everything arrives as described
the battery at 100% life
no bumps or scratches
all in order"
"iPhone 12 Pro Max","Great Product With An Amazing Battery Life… Mag Safe Is What I Love About It…. I DoorDash, SO I Use It With The Pitaka Mag-Safe Vent Car Mount… The GPS Which I Call GOD POWERED SYSTEM On The iPhone Is Amazing And With That Pitaka Mount I Can Put My iPhone 12 Pro Max In Portrait Or Landscape GPS And I Can Keep On Rollin’!… I Love ❤️ It!🙏😍😇…. As A Matter Of Fact: I Like It, I Love It, I Want Some More Of It!😃"
"iPhone 12 Pro Max","I ordered the iPhone 12 Max Pro Premium thinking I had eliminated all the problems associated with buying a used phone. The ""Premium"" in the purchase was a promise of a cosmetically excellent iPhone with a one-year guarantee and a minimum battery health of 90%. Well, therein lies the rub. The exterior of the phone was excellent but upon checking the battery health I found it to be 87%. I might have been willing to accept it, but I noticed on the inspection card that all items had been checked off including the 90% battery health, but the card had not been signed or initialed. I started thinking about what else had not been checked so I boxed it up and sent it back. I'll try it again because I believe that one person doesn't make or break a company."
"iPhone 12 Pro Max","When my phone arrived it was flawless, not a scratch or scuff. The phone was easy to setup and the price was well worth it."
"iPhone 12 Pro Max","Good"
"iPhone 12 Pro Max","My first iPhone coming from a Galaxy 9+ and I’ve been loving it. The battery life is great, health came in at 97% and despite me being an avid social media user, it stays charged all day. It had some tiny scratches on the sides but I didn’t mind cause it was used. I got screen protectors and a few cases and I LOVE IT."
"iPhone 12 Pro Max","Phone is amazing, came quickly looked like new and runs like new"
"iPhone 12 Pro Max","Beats buying a brand new phone considering Amazon's warranty and customer service"
"iPhone 12 Pro Max","Me encanta. Llego rápido y en la caja nuevo. Parece que lo compré en un lugar official."
"iPhone 12 Pro Max","<3<3<3"
"iPhone 12 Pro Max","Great seller ! Item functions as described. Original quality iphone 12 Pro Max! Great IOS simple to navigate and use. The IOS ecosystem is good for those who prefer Apple products from ipads to Apple watch or Airpods."
